,date,open,high,close,low,volume,turnover,alt,itl
242,2016/10/25,7.52,7.55,7.53,7.48,104327.61,1.14,0.0654205607477,1
243,2016/10/24,7.46,7.55,7.51,7.42,115683.44,1.27,0.0849056603774,-1
244,2016/10/21,7.48,7.5,7.46,7.39,100029.86,1.09,0.0286806883365,1
245,2016/10/20,7.49,7.53,7.47,7.45,100793.71,1.1,0.0328820116054,-1
246,2016/10/19,7.58,7.6,7.49,7.49,130942.62,1.43,0.023166023166,1
247,2016/10/18,7.42,7.6,7.6,7.39,208024.91,2.28,0.0212355212355,1
248,2016/10/17,7.5,7.61,7.42,7.37,186808.84,2.04,0.0499040307102,1
249,2016/10/14,7.48,7.77,7.58,7.46,345480.47,3.78,0.0210727969349,-1
250,2016/10/13,7.48,7.55,7.49,7.45,109722.08,1.2,0.0251937984496,-1
251,2016/10/12,7.46,7.5,7.5,7.4,96849.12,1.06,0.0196078431373,-1
252,2016/10/11,7.35,7.62,7.5,7.35,215060.52,2.35,0.0119284294235,-1
253,2016/10/10,7.36,7.45,7.4,7.3,135457.88,1.48,0.012,-1
254,2016/9/30,7.25,7.35,7.33,7.22,73282.79,0.8,0.013916500994,1
255,2016/9/29,7.2,7.31,7.25,7.19,63445.2,0.69,0.018,-1
256,2016/9/28,7.28,7.3,7.2,7.2,59555.4,0.65,0.0139720558882,1
257,2016/9/27,7.21,7.3,7.28,7.19,67402.34,0.74,0.0118577075099,-1
258,2016/9/26,7.42,7.43,7.22,7.21,133614.19,1.46,0.015873015873,1
259,2016/9/23,7.53,7.57,7.4,7.38,99025.51,1.08,0.0157480314961,1
260,2016/9/22,7.49,7.65,7.52,7.49,177820.16,1.95,0.0256916996047,-1
261,2016/9/21,7.46,7.49,7.46,7.43,74506.2,0.82,0.0436507936508,1
262,2016/9/20,7.44,7.5,7.46,7.38,102461.43,1.12,0.0258449304175,-1
263,2016/9/19,7.35,7.46,7.4,7.3,90845.92,0.99,0.0119760479042,1
264,2016/9/14,7.38,7.4,7.35,7.31,87318.66,0.96,0.030549898167,-1
265,2016/9/13,7.34,7.49,7.42,7.31,97791.56,1.07,0.0248447204969,-1
266,2016/9/12,7.31,7.45,7.29,7.26,141227.19,1.55,0.0144927536232,1
267,2016/9/9,7.62,7.62,7.47,7.47,136639.02,1.5,0.0163265306122,1
